analysis,pool,pool_items,eval_models,n_Llama,n_Qwen,gap_pp_full_pool,draw_m,draws,gap_pp_draw_mean,gap_pp_draw_sd,n_G0,n_G1,n_EPn2,n_EPn1
family_llama_qwen,All DIF-test items,1727,690,355.0,335.0,2.553287210667754,50,500,2.5697436199285266,2.4075106396449826,,,,
family_llama_qwen,Invariant A,617,690,355.0,335.0,1.1151696944773692,50,500,1.1064911498843808,1.247554640219927,,,,
family_llama_qwen,B/C favor Qwen,561,690,355.0,335.0,18.699940082670174,50,500,18.734832541517765,1.853501079632753,,,,
family_llama_qwen,B/C favor Llama,549,690,355.0,335.0,-12.330052960013294,50,500,-12.389933823838554,1.5110667697311495,,,,
family_llama_qwen,C favor Qwen,424,690,355.0,335.0,21.217292490510502,50,500,21.29567643472777,1.7157335532149103,,,,
family_llama_qwen,C favor Llama,428,690,355.0,335.0,-14.218289230430708,50,500,-14.20784628967837,1.3400018308587252,,,,
strict_madness_ward,All DIF-test items,1727,1225,,,18.287251198577508,50,500,18.35026528946766,3.2506073666251476,310.0,915.0,,
strict_madness_ward,Invariant A,461,1225,,,17.841815662966233,50,500,18.02976697003626,2.9515513123236197,310.0,915.0,,
strict_madness_ward,B/C favor G1,673,1225,,,28.39262265124957,50,500,28.423696812893613,2.847013827804258,310.0,915.0,,
strict_madness_ward,B/C favor G0,593,1225,,,7.164796495577875,50,500,7.188065464909692,2.9385720465289094,310.0,915.0,,
strict_madness_ward,C favor G1,588,1225,,,29.466363547861903,50,500,29.497880407687564,2.6794150789872937,310.0,915.0,,
strict_madness_ward,C favor G0,493,1225,,,7.050114784216532,50,500,7.0065543098715555,3.0317272600862006,310.0,915.0,,
ep1b,All DIF-test items,1727,1230,,,1.3292155415830342,50,500,1.2882474542256013,1.6819542932946012,,,585.0,645.0
ep1b,Invariant A,674,1230,,,0.8913736598680055,50,500,0.8636819792556141,0.6891788104270204,,,585.0,645.0
ep1b,B/C favor EPn1,547,1230,,,13.625549761022288,50,500,13.65656836348417,1.0742101585464758,,,585.0,645.0
ep1b,B/C favor EPn2,506,1230,,,-11.380234210486107,50,500,-11.415710156605916,0.9547736800278436,,,585.0,645.0
ep1b,C favor EPn1,382,1230,,,15.610016002085485,50,500,15.571304301917216,1.0636949701607818,,,585.0,645.0
ep1b,C favor EPn2,364,1230,,,-13.103983632971982,50,500,-13.130121521103643,1.0145065036519052,,,585.0,645.0
