pass,stratum,n_G0,n_G1,usable
total_score_pass,0,164,0,False
total_score_pass,1,154,0,False
total_score_pass,2,159,0,False
total_score_pass,3,158,0,False
total_score_pass,4,162,0,False
total_score_pass,5,155,2,False
total_score_pass,6,149,11,True
total_score_pass,7,132,29,True
total_score_pass,8,88,70,True
total_score_pass,9,63,95,True
total_score_pass,10,78,84,True
total_score_pass,11,56,101,True
total_score_pass,12,61,94,True
total_score_pass,13,48,118,True
total_score_pass,14,91,59,True
total_score_pass,15,96,62,True
total_score_pass,16,3,157,False
total_score_pass,17,1,157,False
total_score_pass,18,2,156,False
total_score_pass,19,4,155,False
anchor20_pass,0,166,0,False
anchor20_pass,1,163,0,False
anchor20_pass,2,167,0,False
anchor20_pass,3,147,0,False
anchor20_pass,4,155,1,False
anchor20_pass,5,147,7,False
anchor20_pass,6,120,41,True
anchor20_pass,7,133,40,True
anchor20_pass,8,120,60,True
anchor20_pass,9,97,60,True
anchor20_pass,10,73,69,True
anchor20_pass,11,54,102,True
anchor20_pass,12,67,114,True
anchor20_pass,13,73,64,True
anchor20_pass,14,91,88,True
anchor20_pass,15,33,105,True
anchor20_pass,16,11,146,True
anchor20_pass,17,0,176,False
anchor20_pass,18,1,133,False
anchor20_pass,19,6,144,False
